Major,Industry,Avg_Salary,Employment_Rate
PETROLEUM ENGINEERING,Engineering,110000,98.1619473
MINING AND MINERAL ENGINEERING,Engineering,75000,88.2758621
METALLURGICAL ENGINEERING,Engineering,73000,97.5903614
NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,70000,94.9874687
CHEMICAL ENGINEERING,Engineering,65000,93.8902288
NUCLEAR ENGINEERING,Engineering,65000,82.2773593
ACTUARIAL SCIENCE,Business,62000,90.4347826
ASTRONOMY AND ASTROPHYSICS,Physical Sciences,62000,97.8832585
MECHANICAL ENGINEERING,Engineering,60000,94.2657722
ELECTRICAL ENGINEERING,Engineering,60000,94.0826155
COMPUTER ENGINEERING,Engineering,60000,93.4590725
AEROSPACE ENGINEERING,Engineering,60000,93.4837915
BIOMEDICAL ENGINEERING,Engineering,60000,90.791614
MATERIALS SCIENCE,Engineering,60000,97.6957164
ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,58000,99.3665657
BIOLOGICAL ENGINEERING,Engineering,57100,91.2856931
INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,57000,95.7124456
GENERAL ENGINEERING,Engineering,56000,94.0175769
ARCHITECTURAL ENGINEERING,Engineering,54000,93.8069217
COURT REPORTING,Law & Public Policy,54000,98.8310308
COMPUTER SCIENCE,Computers & Mathematics,53000,93.6827229
ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,52000,91.2442886
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,52000,97.2211195
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,51000,94.1760386
CIVIL ENGINEERING,Engineering,50000,92.9390426
CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,50000,93.9976959
OPERATIONS LOGISTICS AND E-COMMERCE,Business,50000,95.2141297
MISCELLANEOUS ENGINEERING,Engineering,50000,92.5607477
PUBLIC POLICY,Law & Public Policy,50000,87.15737010000001
ENVIRONMENTAL ENGINEERING,Engineering,50000,90.6411425
ENGINEERING TECHNOLOGIES,Engineering,50000,94.4969615
MISCELLANEOUS FINE ARTS,Arts,50000,91.0625
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,50000,92.4961715
NURSING,Health,48000,95.5137276
FINANCE,Business,47000,93.9313644
ECONOMICS,Social Science,47000,90.09076830000001
BUSINESS ECONOMICS,Business,46000,90.3551619
INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,46000,97.1691903
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,46000,92.845953
ACCOUNTING,Business,45000,93.0250986
MATHEMATICS,Computers & Mathematics,45000,95.2722862
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,45000,90.6539674
PHYSICS,Physical Sciences,45000,95.1775504
MEDICAL TECHNOLOGIES TECHNICIANS,Health,45000,96.301721
INFORMATION SCIENCES,Computers & Mathematics,45000,93.9258555
STATISTICS AND DECISION SCIENCE,Computers & Mathematics,45000,91.3726334
